Query Time,Frame Start Time,Frame End Time,Image Acquisition Time,Blank1,L1 Rad Created,L1 Rad Available,L1 Availablity Time,Blank2,L2 ABI-L2-MCMIPC Created,L2 ABI-L2-MCMIPC Available,L2 ABI-L2-FDCC Created,L2 ABI-L2-FDCC Available,L2 ABI-L2-ACMC Created,L2 ABI-L2-ACMC Available,L1 Rad Downloaded,L2 ABI-L2-FDCC Downloaded,Total Time
2022-08-01 08:40:30.685305+00:00,2022-08-01 08:41:17.300000+00:00,2022-08-01 08:43:55.056249856+00:00,157,,2022-08-01 08:44:01.300000+00:00,2022-08-01 08:44:23.651206+00:00,28,,2022-08-01 08:44:05.300000+00:00,2022-08-01 08:44:26.104458+00:00,2022-08-01 08:44:16.100000+00:00,2022-08-01 08:44:23.843605+00:00,2022-08-01 08:45:09+00:00,2022-08-01 08:45:22.840443+00:00,2022-08-01 08:45:24.980421+00:00,2022-08-01 08:45:25.510894+00:00,90
2022-08-01 08:45:25.520614+00:00,2022-08-01 08:46:17.300000+00:00,2022-08-01 08:48:55.056249856+00:00,157,,2022-08-01 08:49:02.800000+00:00,2022-08-01 08:49:17.267188+00:00,22,,2022-08-01 08:49:05.200000+00:00,2022-08-01 08:49:19.759455+00:00,2022-08-01 08:49:17.200000+00:00,2022-08-01 08:49:39.152030+00:00,2022-08-01 08:50:03.700000+00:00,2022-08-01 08:50:24.967964+00:00,2022-08-01 08:50:27.182693+00:00,2022-08-01 08:50:27.758385+00:00,92
2022-08-01 08:50:27.766894+00:00,2022-08-01 08:51:17.300000+00:00,2022-08-01 08:53:55.049999872+00:00,157,,2022-08-01 08:54:01.300000+00:00,2022-08-01 08:54:18.408616+00:00,23,,2022-08-01 08:54:05+00:00,2022-08-01 08:54:24.462007+00:00,2022-08-01 08:54:20.600000+00:00,2022-08-01 08:54:40.161943+00:00,2022-08-01 08:55:10.200000+00:00,2022-08-01 08:55:23.442709+00:00,2022-08-01 08:55:25.590627+00:00,2022-08-01 08:55:26.126697+00:00,91
2022-08-01 08:55:26.134771+00:00,2022-08-01 08:56:17.300000+00:00,2022-08-01 08:58:55.043749888+00:00,157,,2022-08-01 08:59:00.500000+00:00,2022-08-01 08:59:19.543197+00:00,24,,2022-08-01 08:59:05.500000+00:00,2022-08-01 08:59:22.652259+00:00,2022-08-01 08:59:17.300000+00:00,2022-08-01 08:59:23.089980+00:00,2022-08-01 09:00:07.700000+00:00,2022-08-01 09:00:26.515590+00:00,2022-08-01 09:00:28.815004+00:00,2022-08-01 09:00:29.868743+00:00,94
2022-08-01 09:04:17.373525+00:00,2022-08-01 09:06:17.300000+00:00,2022-08-01 09:08:55.043749888+00:00,157,,2022-08-01 09:09:01+00:00,2022-08-01 09:09:23.379373+00:00,28,,2022-08-01 09:09:05.800000+00:00,2022-08-01 09:09:24.621638+00:00,2022-08-01 09:09:19.700000+00:00,2022-08-01 09:09:25.923253+00:00,2022-08-01 09:10:11.700000+00:00,2022-08-01 09:10:27.983307+00:00,2022-08-01 09:10:30.097306+00:00,2022-08-01 09:10:30.686736+00:00,95
2022-08-01 09:10:30.695807+00:00,2022-08-01 09:11:17.300000+00:00,2022-08-01 09:13:55.049999872+00:00,157,,2022-08-01 09:14:01.200000+00:00,2022-08-01 09:14:25.409515+00:00,30,,2022-08-01 09:14:05.200000+00:00,2022-08-01 09:14:26.767159+00:00,2022-08-01 09:14:18.900000+00:00,2022-08-01 09:14:26.886747+00:00,2022-08-01 09:15:04.300000+00:00,2022-08-01 09:15:27.705749+00:00,2022-08-01 09:15:29.839478+00:00,2022-08-01 09:15:30.378309+00:00,95
2022-08-01 09:15:30.387697+00:00,2022-08-01 09:16:17.300000+00:00,2022-08-01 09:18:55.043749888+00:00,157,,2022-08-01 09:19:00.500000+00:00,2022-08-01 09:19:24.044509+00:00,29,,2022-08-01 09:19:05.600000+00:00,2022-08-01 09:19:26.501484+00:00,2022-08-01 09:19:16.500000+00:00,2022-08-01 09:19:26.629920+00:00,2022-08-01 09:20:04.800000+00:00,2022-08-01 09:20:08.748867+00:00,2022-08-01 09:20:11.069222+00:00,2022-08-01 09:20:11.613118+00:00,76
2022-08-01 09:20:11.623356+00:00,2022-08-01 09:21:17.300000+00:00,2022-08-01 09:23:55.049999872+00:00,157,,2022-08-01 09:24:01.800000+00:00,2022-08-01 09:24:25.102500+00:00,30,,2022-08-01 09:24:05.500000+00:00,2022-08-01 09:24:32.325037+00:00,2022-08-01 09:24:19.200000+00:00,2022-08-01 09:24:30.067446+00:00,2022-08-01 09:25:16.100000+00:00,2022-08-01 09:25:29.916750+00:00,2022-08-01 09:25:32.094004+00:00,2022-08-01 09:25:32.649156+00:00,97
2022-08-01 09:25:32.659789+00:00,2022-08-01 09:26:17.300000+00:00,2022-08-01 09:28:55.049999872+00:00,157,,2022-08-01 09:29:01.200000+00:00,2022-08-01 09:29:26.088411+00:00,31,,2022-08-01 09:29:04.800000+00:00,2022-08-01 09:29:29.722693+00:00,2022-08-01 09:29:18.400000+00:00,2022-08-01 09:29:28.659094+00:00,2022-08-01 09:30:10.600000+00:00,2022-08-01 09:30:31.833556+00:00,2022-08-01 09:30:34.187427+00:00,2022-08-01 09:30:34.769694+00:00,99
2022-08-01 09:30:34.779755+00:00,2022-08-01 09:31:17.300000+00:00,2022-08-01 09:33:55.049999872+00:00,157,,2022-08-01 09:34:01.600000+00:00,2022-08-01 09:34:24.603135+00:00,29,,2022-08-01 09:34:05.900000+00:00,2022-08-01 09:34:29.446764+00:00,2022-08-01 09:34:17.300000+00:00,2022-08-01 09:34:30.761751+00:00,2022-08-01 09:35:07.800000+00:00,2022-08-01 09:35:12.487329+00:00,2022-08-01 09:35:14.684132+00:00,2022-08-01 09:35:15.229766+00:00,80
